Date,Team,Opp,BO,Pos,PA,H,2B,3B,HR,R,RBI,SB,CS,BB%,K%,ISO,BABIP,EV,AVG,OBP,SLG,wOBA,wRC+,Events,EV.1,maxEV,LA,Barrels,Barrel%,HardHit,HardHit%,location,at_bats,hard_hits,correct_hardhit%
4/21/23,NYY,TOR,2,RF,4.0,1,0,0,0,0,0,0,0,0.0,50.00%,0,0.5,92.7,0.25,0.25,0.25,0.221,36,2.0,92.7,111.2,-3.8,1,50.00%,1,0.5,home,4.0,1.0,0.25
4/20/23,NYY,LAA,2,RF,5.0,1,0,0,0,2,0,0,0,0.2,40.00%,0,0.5,95.2,0.25,0.4,0.25,0.316,102,2.0,95.2,114.4,-3.4,0,0.00%,1,0.5,home,4.0,1.0,0.25
4/19/23,NYY,LAA,2,CF-RF,5.0,1,0,0,1,1,2,0,0,0.4,20.00%,1,0,105.1,0.333,0.6,1.333,0.675,351,2.0,105.1,111.7,35.7,1,50.00%,2,1.0,home,3.0,2.0,0.67
4/18/23,NYY,LAA,2,RF-CF,4.0,0,0,0,0,0,1,0,0,0.0,50.00%,0,0,92.5,0,0,0,0,-100,2.0,92.5,101,25.5,0,0.00%,1,0.5,home,4.0,1.0,0.25
4/16/23,NYY,MIN,2,CF,4.0,0,0,0,0,1,0,0,0,0.25,50.00%,0,0,106.7,0,0.25,0,0.174,4,1.0,106.7,106.7,27.2,1,100.00%,1,1.0,home,3.0,1.0,0.33
4/15/23,NYY,MIN,2,CF,4.0,1,1,0,0,1,0,0,0,0.5,0.00%,0.5,0.5,93.2,0.5,0.75,1,0.659,340,2.0,93.2,105,13.2,1,50.00%,1,0.5,home,2.0,1.0,0.5
4/14/23,NYY,MIN,2,CF,4.0,1,0,0,1,1,1,0,0,0.0,25.00%,0.75,0,93.4,0.25,0.25,1,0.501,230,3.0,93.4,106,12.6,1,33.30%,1,0.333,home,4.0,1.0,0.25
4/13/23,NYY,MIN,2,CF,3.0,0,0,0,0,0,0,0,0,0.0,66.70%,0,0,93.3,0,0,0,0,-100,1.0,93.3,93.3,27.3,0,0.00%,0,0.0,home,3.0,0.0,0.0
4/12/23,NYY,CLE,2,DH,4.0,0,0,0,0,0,0,0,0,0.25,25.00%,0,0,99.5,0,0.25,0,0.174,4,2.0,99.5,103.6,33,1,50.00%,2,1.0,away,3.0,2.0,0.67
4/11/23,NYY,CLE,2,CF,5.0,2,0,0,0,1,0,0,0,0.0,20.00%,0,0.5,87.5,0.4,0.4,0.4,0.353,128,4.0,87.5,104.7,7.9,0,0.00%,2,0.5,away,5.0,2.0,0.4
4/10/23,NYY,CLE,2,CF,4.0,0,0,0,0,1,0,0,0,0.25,50.00%,0,0,51.8,0,0.25,0,0.174,4,1.0,51.8,51.8,47.8,0,0.00%,0,0.0,away,3.0,0.0,0.0
4/9/23,NYY,BAL,2,CF,4.0,3,0,0,2,3,2,0,0,0.0,0.00%,1.5,0.5,97.2,0.75,0.75,2.25,1.223,731,4.0,97.2,105.6,31.3,2,50.00%,3,0.75,away,4.0,3.0,0.75
4/8/23,NYY,BAL,2,CF,4.0,1,1,0,0,0,1,0,0,0.25,25.00%,0.5,0.5,98,0.5,0.5,1,0.485,219,2.0,98,105.8,29.1,0,0.00%,1,0.5,away,3.0,1.0,0.33
4/7/23,NYY,BAL,2,CF-RF,5.0,0,0,0,0,0,0,1,0,0.2,40.00%,0,0,94,0,0.2,0,0.139,-20,2.0,94,104.9,24.4,0,0.00%,1,0.5,away,4.0,1.0,0.25
4/5/23,NYY,PHI,2,CF,4.0,1,0,0,0,1,0,1,0,0.25,25.00%,0,0.5,90.9,0.333,0.5,0.333,0.395,157,2.0,90.9,98.1,20.2,0,0.00%,1,0.5,home,3.0,1.0,0.33
4/4/23,NYY,PHI,2,DH,4.0,0,0,0,0,0,0,0,0,0.25,50.00%,0,0,99.5,0,0.25,0,0.174,4,1.0,99.5,99.5,42.8,0,0.00%,1,1.0,home,3.0,1.0,0.33
4/3/23,NYY,PHI,2,CF,5.0,1,0,0,0,1,0,0,0,0.2,40.00%,0,0.5,107.3,0.25,0.4,0.25,0.316,102,2.0,107.3,111.1,24.9,0,0.00%,2,1.0,home,4.0,2.0,0.5
4/2/23,NYY,SFG,2,RF,4.0,1,0,0,1,1,1,0,0,0.0,50.00%,0.75,0,88.7,0.25,0.25,1,0.501,230,2.0,88.7,111.4,7.9,1,50.00%,1,0.5,home,4.0,1.0,0.25
4/1/23,NYY,SFG,2,CF,5.0,3,0,0,0,1,1,0,0,0.0,20.00%,0,0.75,105.8,0.6,0.6,0.6,0.53,250,4.0,105.8,108.8,10.2,0,0.00%,4,1.0,home,5.0,4.0,0.8
3/30/23,NYY,SFG,2,CF-RF,4.0,2,0,0,1,1,2,0,0,0.0,50.00%,0.75,1,88.8,0.5,0.5,1.25,0.722,383,2.0,88.8,109.3,32.4,1,50.00%,1,0.5,home,4.0,1.0,0.25
