"game_id","play_id","half","shooter","shot_outcome","shooter_team","shot_outcome_numeric","shot_sequence","previous_shots"
401169470,19,1,"Jermaine Samuels","missed","Villanova",-1,-2,-1
401168302,19,1,"Saddiq Bey","missed","Villanova",-1,-3,-2
401168331,19,1,"Collin Gillespie","made","Villanova",1,1,0
401168306,19,1,"Saddiq Bey","missed","Villanova",-1,-1,1
401168452,19,1,"Jeremiah Robinson-Earl","missed","Villanova",-1,-1,0
401168419,19,1,"Koby McEwen","missed","Marquette",-1,-1,1
401168439,19,1,"Luwane Pipkins","made","Providence",1,1,-1
401169778,20,1,"Saddiq Bey","made","Villanova",1,2,1
401169780,20,1,"Justin Moore","made","Villanova",1,1,0
401185770,20,1,"Tristan Clark","made","Baylor",1,1,-1
401169784,20,1,"Kevin Anderson","made","Delaware",1,2,1
401169661,20,1,"Collin Gillespie","missed","Villanova",-1,-3,-2
401168413,20,1,"Markus Howard","made","Marquette",1,2,1
401168325,20,1,"Marcus Zegarowski","made","Creighton",1,1,-1
401168331,20,1,"Ty-Shon Alexander","made","Creighton",1,1,0
401168378,20,1,"Jalen Coleman-Lands","missed","DePaul",-1,-1,0
401168470,20,1,"Saddiq Bey","made","Villanova",1,3,2
401168404,20,1,"Saddiq Bey","made","Villanova",1,1,-1
401169779,21,1,"Collin Gillespie","missed","Villanova",-1,-2,-1
401169780,21,1,"Eli Lawrence","missed","Middle Tennessee",-1,-1,0
401182609,21,1,"Robert Woodard II","made","Mississippi State",1,1,0
401185770,21,1,"Collin Gillespie","missed","Villanova",-1,-1,2
401169782,21,1,"Saddiq Bey","made","Villanova",1,3,2
401169783,21,1,"Rahmir Moore","missed","Saint Joseph's",-1,-3,-2
401169784,21,1,"Jermaine Samuels","made","Villanova",1,2,1
401169785,21,1,"Quentin Goodin","made","Xavier",1,1,0
401168413,21,1,"Collin Gillespie","missed","Villanova",-1,-2,-1
401168396,21,1,"Cole Swider","made","Villanova",1,1,-1
401168352,21,1,"Justin Moore","missed","Villanova",-1,-1,0
401168302,21,1,"Jeremiah Robinson-Earl","made","Villanova",1,1,0
401168435,21,1,"Cole Swider","missed","Villanova",-1,-1,0
401168468,21,1,"Rasheem Dunn","missed","St. John's",-1,-1,1
401168331,21,1,"Collin Gillespie","missed","Villanova",-1,-1,1
401168306,21,1,"Sean McDermott","made","Butler",1,1,0
401168452,21,1,"Sandro Mamukelashvili","missed","Seton Hall",-1,-1,0
401168419,21,1,"Jermaine Samuels","made","Villanova",1,1,0
401169471,21,1,"Quinton Rose","made","Temple",1,1,-2
401169786,21,1,"Jeremiah Robinson-Earl","missed","Villanova",-1,-1,0
401168470,21,1,"Julian Champagnie","made","St. John's",1,1,0
401168439,21,1,"Jermaine Samuels","missed","Villanova",-1,-1,1
401168454,21,1,"Jermaine Samuels","made","Villanova",1,1,-1
401182609,22,1,"Cole Swider","made","Villanova",1,1,0
401169782,22,1,"Saddiq Bey","made","Villanova",1,4,3
401169785,22,1,"Jermaine Samuels","missed","Villanova",-1,-1,0
401168396,22,1,"Omer Yurtseven","missed","Georgetown",-1,-1,1
401169470,22,1,"Akok Akok","made","UConn",1,1,0
401168302,22,1,"Kamar Baldwin","missed","Butler",-1,-1,0
401168306,22,1,"Saddiq Bey","missed","Villanova",-1,-1,-1
401168419,22,1,"Brendan Bailey","missed","Marquette",-1,-1,0
401169471,22,1,"Collin Gillespie","missed","Villanova",-1,-1,2
401168378,22,1,"Paul Reed","made","DePaul",1,1,0
401168470,22,1,"Jermaine Samuels","missed","Villanova",-1,-2,-1
401168454,22,1,"Jermaine Samuels","made","Villanova",1,1,1
401169778,23,1,"Collin Gillespie","missed","Villanova",-1,-2,-1
401169780,23,1,"Jermaine Samuels","made","Villanova",1,1,0
401182609,23,1,"Reggie Perry","made","Mississippi State",1,1,0
401185770,23,1,"Jared Butler","made","Baylor",1,1,0
401169782,23,1,"AJ Brodeur","made","Pennsylvania",1,1,0
401169661,23,1,"Devon Dotson","missed","Kansas",-1,-1,0
401168413,23,1,"Sacar Anim","made","Marquette",1,1,-1
401168352,23,1,"Paul Reed","missed","DePaul",-1,-1,0
401168435,23,1,"David Duke","missed","Providence",-1,-1,0
401168468,23,1,"Saddiq Bey","missed","Villanova",-1,-1,0
401168331,23,1,"Ty-Shon Alexander","made","Creighton",1,2,1
401168452,23,1,"Jeremiah Robinson-Earl","missed","Villanova",-1,-2,-1
401168378,23,1,"Cole Swider","missed","Villanova",-1,-1,0
401169786,23,1,"Naji Marshall","made","Xavier",1,1,0
401168439,23,1,"David Duke","missed","Providence",-1,-1,0
401168454,23,1,"Sandro Mamukelashvili","made","Seton Hall",1,2,1
401169779,24,1,"Jermaine Samuels","made","Villanova",1,1,-1
401182609,24,1,"Collin Gillespie","made","Villanova",1,1,-1
401185770,24,1,"Jermaine Samuels","missed","Villanova",-1,-1,0
401169781,24,1,"Justin Moore","made","Villanova",1,1,0
401169784,24,1,"Collin Gillespie","missed","Villanova",-1,-1,0
